id,name,price_nzd,room_type,accommodates,minimum_nights,review_scores_rating,number_of_reviews,last_review,region_parent_name,latitude,longitude,host_name,formatted_price
l11909616,Rental unit in Opononi · ★4.73 · 1 bedroom · 2 beds · 1 private bath,100.0,Private room,3,1,4.73,505,2023-08-25,Far North District,-35.51398,173.38955,Richard,$100.00
l44538694,Farm stay in Miranda · ★4.93 · 3 bedrooms · 1 bed · 1 bath,190.0,Entire home/apt,7,1,4.93,61,2023-04-15,Hauraki District,-37.17297,175.28864,Judi,$190.00
l695685053729167791,Bungalow in Martinborough · 2 bedrooms · 2 beds · 1 bath,314.0,Entire home/apt,4,2,5.0,2,2023-01-28,South Wairarapa District,-41.2234,175.44969,Bachcare,$314.00
l931591167956934516,Home in Minden · ★New · 4 bedrooms · 5 beds · 1.5 baths,700.0,Entire home/apt,10,5,,0,,Western Bay of Plenty District,-37.70032610501523,176.0405600636345,Paul,$700.00
l669685796106302232,Home in Wānaka · ★4.69 · 5 bedrooms · 6 beds · 3 baths,846.0,Entire home/apt,10,1,4.69,16,2023-08-21,Queenstown-Lakes District,-44.6820031,169.15780159999997,Justine,$846.00
l47705689,Hotel in Katikati · ★5.0 · 2 bedrooms · 3 beds · 1 private bath,270.0,Private room,5,1,5.0,4,2022-05-29,Western Bay of Plenty District,-37.55721,175.91707,Erin,$270.00
l775665954568030098,Home in Whangaparāoa · 3 bedrooms · 3 beds · 1 bath,250.0,Entire home/apt,5,1,5.0,1,2023-05-07,Auckland,-36.6451,174.73815,Sasha,$250.00
l50118792,Cottage in Kinloch · ★4.86 · 3 bedrooms · 3 beds · 1.5 baths,400.0,Entire home/apt,6,2,4.86,22,2023-08-12,Taupo District,-38.66293,175.9188,Carmen,$400.00
l36576886,Home in Hanmer Springs · ★4.74 · 3 bedrooms · 6 beds · 1 bath,206.0,Entire home/apt,8,2,4.74,58,2023-08-12,Hurunui District,-42.51502,172.83307,Pauline,$206.00
l31540227,Home in Haumoana · ★4.90 · 3 bedrooms · 3 beds · 1.5 baths,400.0,Entire home/apt,5,2,4.9,91,2023-08-05,Hastings District,-39.64216,176.9416,Rebecca,$400.00
l719830413519809409,Home in Red Beach · ★5.0 · 4 bedrooms · 5 beds · 2.5 baths,450.0,Entire home/apt,7,4,5.0,6,2023-07-03,Auckland,-36.60176,174.68673,Petronella,$450.00
l38702350,Villa in Queenstown · ★5.0 · 5 bedrooms · 6 beds · 2.5 baths,1613.0,Entire home/apt,10,3,5.0,26,2023-08-20,Queenstown-Lakes District,-45.02426,168.68958999999995,Bridget,"$1,613.00"
l31990975,Home in Kaikoura · ★4.55 · 2 bedrooms · 2 beds · 2 baths,181.0,Entire home/apt,4,2,4.55,47,2023-07-10,Kaikoura District,-42.41678,173.70586,Kaikoura Holiday Homes,$181.00
l883078974919276291,Home in Papamoa · 3 bedrooms · 3 beds · 2 baths,350.0,Entire home/apt,6,1,,0,,Tauranga City,-37.730367,176.34423600000005,Sarah,$350.00
l38732716,Rental unit in Russell · ★5.0 · 4 bedrooms · 6 beds · 2 baths,365.0,Entire home/apt,8,2,5.0,38,2023-07-31,Far North District,-35.26339,174.12694,Olivia,$365.00
l855900680665906267,Home in Silverdale · ★4.86 · 1 bedroom · 1 bed · 1 private bath,96.0,Private room,2,1,4.86,21,2023-08-14,Auckland,-36.61130317301244,174.67160591694946,Jolene,$96.00
l576891065989785719,Rental unit in Auckland · ★4.60 · 1 bedroom · 1 bed · 1 bath,195.0,Entire home/apt,2,1,4.6,45,2023-08-28,Auckland,-36.84413,174.76419,Stefan,$195.00
l740080457921639925,Home in Dunedin · ★5.0 · 2 bedrooms · 2 beds · 1.5 baths,450.0,Entire home/apt,4,3,5.0,6,2023-08-06,Dunedin City,-45.91577,170.47943999999995,Christy,$450.00
